EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00023,Gabriel Joseph,Director,Engineering,Manufacturing,Male,Caucasian,52,10/28/2006,"$187,992",0.28,United States,Miami,,6,14,Bachelor's,3
E00096,Peyton Cruz,Development Engineer,Engineering,Manufacturing,Female,Latino,30,5/26/2016,"$91,134",0,Brazil,Sao Paulo,,5,10,Master's,1
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,8/26/2020,"$189,290",0.22,Brazil,Sao Paulo,9/25/2020,10,12,PhD,4
E00144,Theodore Ngo,Controls Engineer,Engineering,Research & Development,Male,Asian,55,4/29/2018,"$83,378",0,China,Beijing,,9,6,Bachelor's,3
E00153,Claire Jones,Field Engineer,Engineering,Corporate,Female,Caucasian,39,3/12/2019,"$62,644",0,United States,Seattle,,9,15,Bachelor's,3
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,6/7/2004,"$246,231",0.31,United States,Seattle,,10,15,PhD,2
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,9/28/1992,"$70,778",0,United States,Austin,,6,14,Bachelor's,3
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,7/16/1998,"$92,932",0,United States,Columbus,,8,2,Bachelor's,2
E00268,Ian Flores,Director,Engineering,Corporate,Male,Latino,48,12/10/2019,"$183,113",0.24,Brazil,Rio de Janerio,,5,11,Bachelor's,0
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,10/22/2012,"$168,510",0.29,United States,Seattle,,9,6,Bachelor's,4
E00371,Melody Grant,Quality Engineer,Engineering,Corporate,Female,Caucasian,41,10/7/2005,"$79,352",0,United States,Seattle,,6,3,Bachelor's,2
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,2/5/2005,"$70,505",0,United States,Austin,,8,0,Bachelor's,1
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,5/22/2016,"$189,702",0.28,Brazil,Manaus,12/21/2020,8,8,Bachelor's,4
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,8/29/2015,"$68,488",0,United States,Seattle,,7,1,Master's,3
E00465,Dominic Parker,Test Engineer,Engineering,Research & Development,Male,Caucasian,62,10/4/2011,"$63,959",0,United States,Seattle,,10,12,Bachelor's,4
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,8/4/1995,"$80,701",0,United States,Chicago,4/14/2005,6,12,Bachelor's,3
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,4/16/2020,"$71,864",0,China,Chengdu,,10,10,Master's,4
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,Female,Asian,50,5/10/2013,"$79,388",0,United States,Austin,8/4/2019,9,9,Bachelor's,4
E00608,Anna Han,Development Engineer,Engineering,Manufacturing,Female,Asian,29,11/9/2019,"$75,012",0,United States,Chicago,,7,3,Master's,3
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,9/3/1998,"$86,299",0,United States,Seattle,,10,0,Bachelor's,4
E00667,Skylar Shah,Field Engineer,Engineering,Manufacturing,Female,Asian,42,4/27/2012,"$72,903",0,United States,Phoenix,,9,0,Bachelor's,4
E00703,Wesley Dominguez,Engineering Manager,Engineering,Corporate,Male,Latino,45,4/27/2018,"$115,490",0.12,United States,Chicago,,9,8,Bachelor's,0
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,10/10/2011,"$245,482",0.39,United States,Seattle,,10,4,Bachelor's,4
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,4/25/1999,"$95,061",0.1,China,Shanghai,,5,0,Bachelor's,3
E00863,Lincoln Ramos,Operations Engineer,Engineering,Corporate,Male,Latino,59,9/10/2008,"$96,313",0,United States,Austin,,10,11,Bachelor's,0
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,3/6/2018,"$255,431",0.36,United States,Columbus,,5,13,Bachelor's,3
E00952,Jaxon Powell,Field Engineer,Engineering,Research & Development,Male,Caucasian,59,3/29/1996,"$62,605",0,United States,Austin,,6,6,Bachelor's,1
E00955,Theodore Marquez,Development Engineer,Engineering,Speciality Products,Male,Latino,54,11/24/2012,"$94,407",0,Brazil,Sao Paulo,,9,2,Bachelor's,4
E00956,Eleanor Chau,Development Engineer,Engineering,Research & Development,Female,Asian,37,3/8/2020,"$80,659",0,United States,Phoenix,,6,2,Bachelor's,0
E01090,Jacob Cheng,Quality Engineer,Engineering,Research & Development,Male,Asian,59,12/23/2009,"$78,006",0,United States,Miami,,10,12,Master's,1
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,7/7/2005,"$74,412",0,United States,Seattle,,6,15,Bachelor's,1
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,1/28/2021,"$95,786",0,United States,Chicago,,10,11,Bachelor's,4
E01167,Kinsley Collins,Automation Engineer,Engineering,Speciality Products,Female,Caucasian,28,11/14/2018,"$115,854",0,United States,Phoenix,,5,13,Bachelor's,1
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,4/22/2013,"$61,773",0,United States,Seattle,,8,9,PhD,2
E01242,Emery Doan,Controls Engineer,Engineering,Corporate,Female,Asian,25,6/23/2021,"$86,464",0,China,Shanghai,,10,12,Bachelor's,0
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,Latino,36,4/9/2009,"$60,055",0,United States,Seattle,,9,12,Bachelor's,1
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,8/25/2017,"$169,509",0.18,Brazil,Manaus,,9,12,Bachelor's,3
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,Latino,47,7/14/1998,"$99,091",0,United States,Austin,,9,2,Master's,0
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,1/15/2010,"$98,110",0.13,United States,Chicago,,9,13,Master's,0
E01377,Grayson Luu,Quality Engineer,Engineering,Research & Development,Male,Asian,55,4/30/2011,"$89,419",0,China,Shanghai,,9,7,Bachelor's,4
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,10/23/1997,"$91,763",0,United States,Austin,,6,8,Bachelor's,0
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,2/28/2008,"$113,987",0,Brazil,Manaus,,8,3,Master's,4
E01425,,Vice President,Engineering,Corporate,Male,Caucasian,33,6/18/2015,"$205,314",0.3,United States,Columbus,,8,13,Bachelor's,3
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,11/16/2017,"$110,054",0.15,United States,Miami,,9,13,Bachelor's,0
E01508,Penelope Rodriguez,Engineering Manager,Engineering,Manufacturing,Female,Latino,49,3/12/2016,"$100,810",0.12,Brazil,Rio de Janerio,,6,11,Master's,4
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,4/8/1992,"$116,878",0.11,United States,Miami,,10,0,Bachelor's,4
