EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00091,Emilia Chu,Analyst II,Finance,Manufacturing,Female,Asian,48,6/24/2003,"$55,760",0,United States,Austin,,7,0,Bachelor's,2
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,3/4/2002,"$175,837",0.2,United States,Phoenix,,10,1,Master's,3
E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,5/2/1996,"$189,933",0.23,United States,Miami,,10,12,Bachelor's,2
E00206,Theodore Xi,Manager,Finance,Corporate,Male,Asian,52,10/5/2009,"$122,890",0.07,China,Shanghai,,7,12,Master's,2
E00225,Angel Delgado,Director,Finance,Corporate,Male,Latino,31,8/10/2017,"$156,931",0.28,United States,Seattle,,10,8,Bachelor's,3
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,6/27/2015,"$57,008",0,United States,Phoenix,,6,12,Bachelor's,2
E00287,Luca Nelson,Manager,Finance,Speciality Products,Male,Caucasian,60,6/15/2010,"$106,578",0.09,United States,Miami,,6,1,Bachelor's,0
E00324,Hailey Song,Manager,Finance,Research & Development,Female,Asian,37,8/23/2016,"$124,928",0.06,China,Chongqing,,9,7,Bachelor's,2
E00342,Wesley Doan,Manager,Finance,Corporate,Male,Asian,63,4/19/2004,"$122,487",0.08,China,Shanghai,,6,12,PhD,1
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,Caucasian,30,3/18/2019,"$54,714",0,United States,Columbus,,5,1,Master's,2
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,5/16/2004,"$55,499",0,Brazil,Manaus,,9,2,Bachelor's,0
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,4/6/2006,"$71,531",0,United States,Columbus,,9,5,Bachelor's,1
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,12/2/2007,"$64,494",0,United States,Columbus,,5,15,Bachelor's,3
E00518,Lydia Morales,Manager,Finance,Speciality Products,Female,Latino,51,6/14/2013,"$108,221",0.05,Brazil,Manaus,,8,7,Bachelor's,3
E00577,Nora Nunez,Analyst II,Finance,Research & Development,Female,Latino,45,8/6/2012,"$58,586",0,Brazil,Sao Paulo,,5,4,Bachelor's,3
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,4/21/2018,"$140,402",0.15,China,Beijing,,9,15,Bachelor's,4
E00605,Nova Williams,Manager,Finance,Speciality Products,Female,Black,61,4/25/2010,"$110,302",0.06,United States,Miami,,7,9,Bachelor's,4
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,9/4/2020,"$95,045",0,United States,Chicago,,9,8,Bachelor's,3
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,1/15/2003,"$166,599",0.26,United States,Seattle,,10,11,PhD,3
E00711,Melody Chin,Sr. Manger,Finance,Corporate,Female,Asian,43,10/15/2006,"$153,492",0.11,United States,Chicago,,9,12,Bachelor's,2
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,Female,Latino,53,2/9/2002,"$58,605",0,United States,Phoenix,,5,6,PhD,4
