EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,4/11/2021,"$72,235",0,Brazil,Manaus,,6,13,Master's,3
E00089,Sofia Yoon,Sr. Manger,Human Resources,Research & Development,Female,Asian,37,1/17/2011,"$131,353",0.11,China,Shanghai,,7,7,Bachelor's,2
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,1/22/2018,"$176,294",0.28,United States,Austin,,6,13,Bachelor's,0
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,3/10/2017,"$196,951",0.33,China,Beijing,,6,7,Bachelor's,3
E00203,Julia Doan,Business Partner,Human Resources,Speciality Products,Female,Asian,53,9/7/2017,"$46,727",0,United States,Columbus,5/31/2018,9,14,Bachelor's,3
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,7/23/2012,"$187,048",0.32,China,Chengdu,,10,8,Bachelor's,4
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,10/21/2016,"$52,811",0,United States,Miami,,8,10,Bachelor's,2
E00340,Eliana Allen,Business Partner,Human Resources,Research & Development,Female,Caucasian,56,8/20/2009,"$52,800",0,United States,Phoenix,,10,13,Bachelor's,0
E00364,Matthew Howard,Director,Human Resources,Manufacturing,Male,Caucasian,50,10/17/2021,"$172,180",0.3,United States,Columbus,,7,3,Bachelor's,3
E00369,Genesis Woods,Manager,Human Resources,Speciality Products,Female,Black,33,8/21/2013,"$105,390",0.06,United States,Columbus,,10,2,PhD,3
E00403,Liliana Soto,Business Partner,Human Resources,Manufacturing,Female,Latino,58,10/12/2010,"$43,001",0,United States,Austin,,8,2,Master's,0
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,5/19/2012,"$160,280",0.19,China,Beijing,,5,2,Master's,3
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,10/23/2009,"$54,415",0,United States,Seattle,1/22/2014,10,1,Bachelor's,4
E00459,Jackson Jordan,Business Partner,Human Resources,Research & Development,Male,Black,48,9/21/2020,"$54,654",0,United States,Phoenix,,9,6,Bachelor's,0
E00480,Hadley Yee,Business Partner,Human Resources,Speciality Products,Female,Asian,31,3/12/2018,"$47,913",0,United States,Seattle,,6,4,Master's,3
E00503,Leah Patterson,Manager,Human Resources,Research & Development,Female,Caucasian,33,6/11/2012,"$118,253",0.08,United States,Austin,,9,5,Bachelor's,0
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,3/14/1999,"$105,086",0.09,United States,Austin,,10,4,PhD,2
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,2/11/2009,"$157,333",0.15,United States,Miami,,9,2,Bachelor's,0
E00647,Dylan Ali,Sr. Manger,Human Resources,Speciality Products,Male,Asian,27,4/16/2021,"$133,400",0.11,United States,Phoenix,,10,9,Bachelor's,1
E00650,Emery Chang,Business Partner,Human Resources,Research & Development,Female,Asian,45,8/17/2000,"$55,563",0,China,Chengdu,,10,9,PhD,1
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,12/21/2007,"$93,840",0,Brazil,Manaus,,7,1,Bachelor's,3
E00676,Isaac Yoon,Manager,Human Resources,Corporate,Male,Asian,41,2/6/2019,"$126,950",0.1,United States,Chicago,,8,14,Master's,0
E00701,Madeline Garcia,Sr. Business Partner,Human Resources,Speciality Products,Female,Latino,45,4/26/2019,"$74,891",0,Brazil,Rio de Janerio,,10,8,Bachelor's,1
E00717,Kennedy Vargas,Business Partner,Human Resources,Manufacturing,Female,Latino,45,10/14/2005,"$51,404",0,Brazil,Manaus,12/6/2009,9,0,PhD,1
E00810,Hunter Nunez,Vice President,Human Resources,Corporate,Male,Latino,62,8/16/2002,"$234,594",0.33,United States,Seattle,,10,10,Bachelor's,2
E00880,Grace Carter,Sr. Manger,Human Resources,Speciality Products,Female,Black,25,3/17/2021,"$155,080",0.1,United States,Austin,,6,2,Master's,3
E00951,Everly Lin,Business Partner,Human Resources,Manufacturing,Female,Asian,25,3/15/2021,"$47,974",0,China,Chongqing,,6,1,Bachelor's,1
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,Latino,65,5/23/2004,"$153,938",0.2,United States,Phoenix,,10,8,Bachelor's,1
E01076,Sofia Vu,Sr. Manger,Human Resources,Research & Development,Female,Asian,52,9/5/2017,"$140,042",0.13,United States,Austin,,10,9,Bachelor's,3
E01111,Santiago f Moua,Sr. Manger,Human Resources,Corporate,Male,Asian,45,5/7/2010,"$145,093",0.12,United States,Chicago,,9,5,Bachelor's,2
E01118,Roman Yang,Manager,Human Resources,Manufacturing,Male,Asian,42,12/12/2009,"$114,242",0.08,United States,Phoenix,,10,15,Bachelor's,4
E01188,Alexander James,Sr. Manger,Human Resources,Manufacturing,Male,Caucasian,42,4/18/2013,"$131,179",0.15,United States,Columbus,,7,3,Bachelor's,0
E01209,Jayden Williams,Manager,Human Resources,Manufacturing,Male,Caucasian,64,12/26/1992,"$104,668",0.08,United States,Columbus,,8,12,Bachelor's,2
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,7/27/2019,"$220,937",0.38,United States,Austin,,8,6,Bachelor's,4
