EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00035,Lillian Gonzales,Cloud Infrastructure Architect,IT,Manufacturing,Female,Latino,43,3/13/2009,"$62,335",0,Brazil,Manaus,,9,2,Master's,3
E00044,Scarlett Jenkins,Vice President,IT,Research & Development,Female,Caucasian,53,11/9/2011,"$198,473",0.32,United States,Miami,,6,13,Bachelor's,2
E00099,Brooklyn Salazar,IT Systems Architect,IT,Manufacturing,Female,Latino,44,3/1/2011,"$82,462",0,United States,Austin,,9,11,Bachelor's,3
E00102,Riley Rojas,Network Architect,IT,Speciality Products,Female,Latino,36,1/21/2021,"$90,333",0,Brazil,Rio de Janerio,,6,15,Bachelor's,2
E00126,Isabella Scott,Network Administrator,IT,Research & Development,Female,Caucasian,58,4/26/2016,"$72,045",0,United States,Phoenix,,9,7,Bachelor's,1
E00156,Madelyn Scott,Sr. Manger,IT,Research & Development,Female,Caucasian,46,1/9/2002,"$148,035",0.14,United States,Phoenix,,5,15,Bachelor's,0
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,12/19/2019,"$91,954",0,United States,Columbus,,6,8,Bachelor's,1
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,5/11/2012,"$231,141",0.34,China,Beijing,,10,5,Master's,4
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,1/22/2011,"$97,339",0,United States,Austin,,8,3,Bachelor's,0
E00319,Ezra Wilson,Service Desk Analyst,IT,Manufacturing,Male,Caucasian,55,10/18/2013,"$70,334",0,United States,Miami,,5,6,Bachelor's,1
E00344,Savannah He,Director,IT,Research & Development,Female,Asian,52,2/14/1996,"$159,724",0.23,China,Beijing,,10,3,Master's,1
E00401,Wesley Adams,System Administrator�,IT,Corporate,Male,Caucasian,48,8/11/2003,"$93,017",0,United States,Seattle,,5,9,Bachelor's,3
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,7/4/2019,"$76,588",0,Brazil,Rio de Janerio,,10,5,Bachelor's,1
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,5/26/2020,"$67,925",0.08,China,Shanghai,,6,0,Bachelor's,4
E00481,Jameson Nelson,Network Architect,IT,Research & Development,Male,Caucasian,61,3/8/2016,"$96,566",0,United States,Columbus,,7,6,Bachelor's,3
E00494,Robert Alvarez,Service Desk Analyst,IT,Corporate,Male,Latino,39,10/21/2016,"$84,297",0,Brazil,Manaus,,7,5,Bachelor's,3
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,5/18/1998,"$68,268",0,United States,Phoenix,,5,10,Master's,0
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,7/26/1993,"$69,260",0,United States,Abu Dhabi,,8,15,Bachelor's,3
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,10/31/2006,"$120,128",0.1,United States,Austin,,7,0,Bachelor's,3
E00559,Penelope Silva,Network Architect,IT,Speciality Products,Female,Latino,36,11/3/2016,"$94,618",0,United States,Columbus,,7,4,Bachelor's,1
E00592,Josephine Richardson,System Administrator�,IT,Manufacturing,Female,Caucasian,57,2/18/1996,"$75,354",0,United States,Austin,12/14/1996,9,12,Bachelor's,4
E00593,Luke Wilson,Solutions Architect,IT,Speciality Products,Male,Caucasian,34,5/24/2016,"$94,352",0,United States,Miami,,8,7,Bachelor's,0
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,7/6/2017,"$96,331",0,China,Shanghai,,10,4,Bachelor's,1
E00639,Benjamin Mai,System Administrator�,IT,Corporate,male,Asian,54,6/15/1998,"$95,239",0,United States,Phoenix,,5,9,Bachelor's,0
E00640,Paisley Bryant,Cloud Infrastructure Architect,IT,Manufacturing,Female,Black,37,4/27/2016,"$91,400",0,United States,Chicago,,10,15,Bachelor's,4
E00697,Jonathan Chavez,System Administrator�,IT,Manufacturing,Male,Latino,29,5/11/2017,"$87,536",0,United States,Seattle,,7,6,Bachelor's,1
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,8/16/2006,"$159,044",0.1,Brazil,Manaus,,10,12,Master's,3
E00747,Leilani Baker,Technical Architect,IT,Speciality Products,Female,Caucasian,59,4/4/2010,"$76,027",0,United States,Seattle,,8,9,Bachelor's,0
E00784,Ella Nguyen,Service Desk Analyst,IT,Corporate,Female,Asian,60,2/10/2004,"$90,258",0,China,Chongqing,,10,3,Master's,0
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,5/9/2018,"$73,317",0,United States,Miami,,8,15,PhD,2
