EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,8/19/2004,"$121,065",0.15,Brazil,Rio de Janerio,,9,4,PhD,0
E00161,Ryan Ha,Vice President,Marketing,Corporate,Male,Asian,60,1/27/2007,"$234,311",0.37,United States,Miami,,9,1,Master's,4
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,9/7/2019,"$70,992",0,United States,Austin,,10,7,Master's,3
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,1/15/2002,"$86,510",0,China,Beijing,1/2/2003,6,13,Bachelor's,3
E00325,Jameson Chen,Vice President,Marketing,Research & Development,Male,Asian,39,12/5/2019,"$254,057",0.39,China,Shanghai,,9,0,Bachelor's,1
E00359,Logan Carrillo,Sr. Analyst,Marketing,Research & Development,Male,Latino,33,11/30/2014,"$91,280",0,United States,Miami,,6,3,PhD,1
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,2/2/2020,"$115,417",0.06,China,Shanghai,,10,9,Master's,0
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,9/21/2021,"$68,728",0,United States,Phoenix,,7,12,Bachelor's,2
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,9/25/2018,"$114,441",0.1,China,Chongqing,12/22/2019,7,7,PhD,4
E00447,Hailey Sanchez,Vice President,Marketing,Corporate,Female,Latino,32,2/5/2014,"$203,445",0.34,Brazil,Manaus,,10,3,Bachelor's,1
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,3/13/2013,"$249,270",0.3,United States,Seattle,,8,14,Bachelor's,3
E00555,Christian Ali,Analyst II,Marketing,Research & Development,Male,Asian,65,10/17/2001,"$74,631",0,China,Chongqing,,10,2,Bachelor's,4
