EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned
E00005,Riley Washington,Director,Sales,Speciality Products,Female,Caucasian,39,4/29/2007,"$171,487",0.23,United States,Phoenix,,10,6,Bachelor's,3
E00022,Elena Her,Account Representative,Sales,Manufacturing,Female,Asian,62,9/17/2006,"$64,669",0,China,Chongqing,,8,9,Bachelor's,4
E00116,Madelyn Mehta,Analyst,Sales,Speciality Products,Female,Asian,64,1/28/2005,"$55,369",0,United States,Phoenix,,10,15,Bachelor's,2
E00145,Alexander Rivera,Sr. Analyst,Sales,Research & Development,Male,Latino,58,4/27/2009,"$76,802",0,Brazil,Manaus,,10,7,PhD,3
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,10/14/2019,"$79,356",0,United States,Phoenix,,10,9,Bachelor's,3
E00218,David Desai,Vice President,Sales,Speciality Products,Male,Asian,47,11/22/2016,"$253,249",0.31,United States,Austin,,5,5,Bachelor's,2
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,4/16/2004,"$94,246",0,United States,Austin,,5,16,Master's,2
E00412,Ezra Banks,Analyst II,Sales,Research & Development,Male,Caucasian,37,4/23/2010,"$57,531",0,United States,Chicago,,10,6,Bachelor's,3
E00446,Hudson Hill,Sr. Analyst,Sales,Research & Development,Male,Caucasian,30,11/4/2019,"$96,092",0,United States,Austin,,9,4,PhD,4
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,7/3/2021,"$82,739",0,United States,Phoenix,,8,14,Bachelor's,0
E00538,Caleb Xiong,Sr. Account Representative,Sales,Corporate,Male,Asian,38,11/28/2011,"$74,010",0,United States,Chicago,,5,4,Bachelor's,0
E00634,Samantha Chavez,Sr. Analyst,Sales,Speciality Products,Female,Latino,53,1/9/2017,"$75,769",0,Brazil,Manaus,7/17/2020,8,9,Bachelor's,1
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,1/24/2017,"$50,994",0,China,Chongqing,,6,3,PhD,2
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,9/5/2019,"$49,998",0,United States,Seattle,,10,0,Bachelor's,4
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,5/10/2014,"$65,047",0,Brazil,Sao Paulo,,5,9,Bachelor's,0
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,1/31/2006,"$117,518",0.07,United States,Seattle,,9,5,Bachelor's,0
E00749,Valentina Moua,Account Representative,Sales,Manufacturing,Female,Asian,37,11/10/2015,"$64,204",0,United States,Columbus,4/20/2021,7,1,Bachelor's,4
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,2/22/2014,"$218,530",0.3,China,Shanghai,,10,8,Bachelor's,1
E00758,Jonathan Khan,Account Representative,Sales,Manufacturing,Male,Asian,35,8/30/2013,"$59,646",0,China,Shanghai,,9,6,Bachelor's,0
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,Latino,56,6/15/1992,"$59,591",0,Brazil,Sao Paulo,,10,1,Bachelor's,0
E00943,Elena Mendoza,Director,Sales,Speciality Products,Female,Latino,27,10/24/2018,"$154,973",0.29,Brazil,Sao Paulo,,9,15,Master's,1
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,7/18/2013,"$149,712",0.14,United States,Columbus,,10,2,Bachelor's,1
E00994,Charlotte Baker,Analyst II,Sales,Manufacturing,Female,Caucasian,29,11/17/2016,"$60,930",0,United States,Austin,,6,11,Bachelor's,4
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,3/19/2021,"$127,543",0.06,China,Shanghai,,8,13,PhD,4
E01019,Dominic Scott,Sr. Analyst,Sales,Corporate,Male,Caucasian,45,3/16/2011,"$81,687",0,United States,Phoenix,,10,15,Bachelor's,3
